"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#95.","Wuppertal; Solingen","",0,0,0,0,0,0,696172.9999999993,650877,238.00000000000009,3607.000000000002
"#96.","Leipzig","",0,2000,8450,31847,451850,607700,0,0,80.40464232851812,19048.353725702775
"#97.","Toulouse","",0,0,0,0,0,0,266648.9999999998,712882,252,3309.0000000000023
"#98.","Lódz","Lodsch, Litzmannstadt",0,0,1000,7500,287740,563875,0,0,88.40674219704245,27398.208320449725
"#99.","Florence; Prato","",0,0,0,0,0,0,618913.0000000003,711105,196.00000000000009,4664.999999999997
"#100.","Oslo","",0,0,2750,11748,202211,349138,0,0,107.12375475054384,17954.96874644084
"#101.","Mannheim","",0,0,0,3832,0,0,0,0,1.2528339726027398,1434810.846754203
"#102.","Seville","",0,0,0,0,0,0,574674.9999999998,696193,80,8881.000000000007
"#103.","Zagreb","",0,0,0,0,0,0,606605.0000000001,643962,151,5418.000000000002
"#104.","Lyon","Lugdunum, Lyons",50000,50000,41961,133374,419337,357350,0,0,52.98498689311265,23765.854232934467
"#105.","Zurich","",0,0,0,0,0,0,251347.0000000002,689208,187,3686
"#106.","Bristol","",0,0,0,0,0,0,514773.0000000001,680809,173.00000000000006,3935
"#107.","Palermo","Panormus, Panhormus",0,71545,39545,134294,305112,491775,0,0,56.20978262338984,17515.054080077924
"#108.","Sheffield","",0,0,0,0,0,0,548958.9999999999,665294,219.00000000000003,3038
"#109.","Lisboa","Olisipo, Felicitas Julia",0,15000,60000,222286,328904,596537,0,0,46.68570355386759,22405.906209921628
"#110.","Hanover","",0,0,0,0,0,0,619177.0000000003,663997,204,3774.9999999999973
"#111.","Zürich","Zurich",0,3250,5339,11836,150767,385568,0,0,86.53778806340682,20482.310352161054
"#112.","Nottingham","",0,0,0,0,0,0,514439.9999999996,650703,178,3656
"#113.","Kraków","Krakau, Cracow, Cracovia",0,3000,22215,25911,104743,378377,0,0,79.90819491088881,18545.23414391558
"#114.","Nuremberg; F�rth","",0,0,0,0,0,0,547940.9999999997,645853,171,3899.0000000000014
"#115.","Bordeaux","",0,0,0,0,0,0,439770.0000000001,642756,208,3211.0000000000023
"#116.","Wroclaw","Breslau",0,0,21545,59890,419411,362262,0,0,62.272254686245866,123417.90132685355
"#117.","Zaragoza","",0,0,0,0,0,0,445684.00000000006,624271,76,10692.999999999996
"#118.","Dresden","",0,0,4377,59028,409250,436400,0,0,58.93463853345618,22554.786107502856
"#119.","Göteborg","",0,0,1000,12395,124750,326233,0,0,89.23984643972017,18055.749559997923
"#120.","Helsinki","Helsingissä, Helsingfors",0,0,0,6542,92644,387660,0,0,101.38199464835135,16038.02501546219
