"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#74.","Quebec; L�vis","",0,0,0,0,0,0,254522.99999999988,619036,275,2251
"#75.","Ottawa; Gatineau","",0,0,0,0,0,0,294627.00000000023,604618,208,2907
"#76.","Atlanta","",0,0,0,0,0,0,0,602708,292,2064
"#77.","Buffalo","",0,0,0,0,341149,565367,0,0,94.04316912629537,6435.659905954646
"#78.","Winnipeg","",0,0,0,0,40630,218830,0,0,70.27686642131084,14302.041440167679
"#79.","Toledo","Ohio",0,0,0,0,131000,392429,0,0,43.57072820119698,14335.353012160544
"#80.","Seattle","",0,0,0,0,144262,485670,0,0,68.22097170577136,9466.954680452896
"#81.","Columbus","",0,0,0,0,126183,403933,0,0,89.25890273599617,9863.458312660094
"#82.","Phoenix","",0,0,0,0,7150,237504,0,0,81.31000513861399,10240.605440153568
"#83.","Buffalo","",0,0,0,0,0,0,544113.9999999998,439527,239.99999999999997,2267
"#84.","Honolulu; Waipahu; Pearl City; Aiea","",0,0,0,0,0,0,241983.00000000006,541957,179,3062
"#85.","Provo; Lehi","",0,0,0,0,0,0,0,534552,183,2921
"#86.","North York","",0,0,0,0,0,0,0,0,42.72044256342925,15562.85117033234
"#87.","Jacksonville","",0,0,0,0,30421,183350,0,0,107.14048331755116,9469.563445344098
"#88.","North Richland Hills; Euless; Bedford; Haltom City; Hurst; Watauga","",0,0,0,0,0,0,0,523625,268,1954
"#89.","Edmonton","",0,0,0,0,0,201820,0,0,71.11051069309345,13995.105618962963
"#90.","Kansas City","",0,0,0,0,152075,398683,0,0,64.10557642563123,14010.607059387161
"#91.","Louisville","",0,0,0,0,0,0,183111.99999999983,505690,352,1580.0000000000005
"#92.","Riverside; Corona","",0,0,0,0,0,0,0,495767,198,2504
"#93.","Oklahoma City","",0,0,0,0,0,0,168411.99999999994,492130,313,1572
"#94.","Atlanta","Terminus, Marthasville",0,0,0,0,90647,387913,0,0,72.11577588490147,8431.670770152798
"#95.","Minneapolis","",0,0,0,0,225056,481377,0,0,56.28967308681953,8579.284214534533
"#96.","Tucson","",0,0,0,0,0,0,137062.00000000012,466092,237,1967
"#97.","Albuquerque","",0,0,0,0,0,0,148213.99999999988,456285,214,2132
"#98.","Escondido; Vista","",0,0,0,0,0,0,0,449581,193,2329
"#99.","Nashville-Davidson","Nashborough",0,0,0,300,78906,165902,0,0,101.31380699528138,8743.249853294767
"#100.","Hamilton","",0,0,0,0,0,0,268449.9999999998,446367,173.00000000000006,2580
"#101.","Colorado Springs","",0,0,0,0,0,0,0,445670,229,1946
"#102.","Calgary","",0,0,0,0,0,162320,0,0,56.16694153308569,13063.7339994454
"#103.","Providence; Cranston; Pawtucket; East Providence; Central Falls","",0,0,0,0,0,0,338967.99999999977,437121,179,2470
"#104.","Tulsa","",0,0,0,0,0,0,87664.00000000003,434183,277,1567
"#105.","Scranton","",0,0,0,0,128462,432000,0,0,29.788714486337973,20387.304738349856
"#106.","Newark","",0,0,0,0,271329,425002,0,0,49.472906561204034,8590.600988325206
"#107.","Denver","",0,0,0,0,131236,380526,0,0,50.839250148476076,10959.537971184509
"#108.","Cincinnati","",0,0,0,0,0,0,325405.0000000002,414286,223.99999999999994,1955.0000000000005
"#109.","Indianapolis","",0,0,0,0,0,0,112794.00000000003,418057,254,1646
"#110.","Stockton","",0,0,0,0,0,0,106875.99999999997,408517,162,2522
"#111.","Memphis","",0,0,0,0,0,0,0,402281,274,1497.0000000000007
"#112.","Kansas City; Overland Park; Lenexa","",0,0,0,0,0,0,103069.99999999993,398610,244,1634
"#113.","The Woodlands","",0,0,0,0,0,0,0,398010,130,3062
"#114.","Fort Worth","",0,0,0,0,45000,285009,0,0,46.3496954018881,8851.870006694948
"#115.","Kitchener; Waterloo","",0,0,0,0,0,0,85221,388027,147,2640
"#116.","Louisville","",0,0,0,800,204093,359782,0,0,68.03672578755008,7292.389190511872
"#117.","Portland","",0,0,0,0,133281,349024,0,0,48.917135063441506,7919.228388877576
"#118.","Jacksonville","",0,0,0,0,0,0,0,379643,291,1305
"#119.","Toledo","",0,0,0,0,135609,307100,0,0,56.68320120487617,7510.781569724404
"#120.","Mission Viejo","",0,0,0,0,0,0,71684.00000000001,370029,184,2225
