"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#63.","Melton","",0,0,0,0,0,0,0,88673,27,3284
"#64.","Ryde","",0,0,0,0,0,55409,0,0,6.583971213952066,14560.863320964208
"#65.","Dunedin","",0,0,0,0,24480,75400,0,0,6.279602119702998,33218.67140747167
"#66.","Mandurah","",0,0,0,0,0,0,0,85038,81,1050
"#67.","Liverpool","",0,0,0,0,0,21505,0,0,9.656186834801856,17144.989769649434
"#68.","Dunedin","",0,0,0,0,0,0,52806,84080,46,1828
"#69.","Rockdale","",0,0,0,0,0,60942,0,0,6.263717442140449,14663.16515730331
"#70.","Sunshine","",0,0,0,0,0,0,0,0,5.144892321829884,16705.929797148823
"#71.","Devonport","> see also: Burnie-Devonport",0,0,0,0,3771,9838,0,0,106.65002429021774,17288.693187242483
"#72.","Caulfield","",0,0,0,0,0,70864,0,0,5.33179313116221,15584.907711586764
"#73.","Enfield","",0,0,0,0,0,0,0,0,4.683091529153936,17146.792775691763
"#74.","Beau Bassin-Rose Hill","",0,0,0,0,0,26927,0,0,6.557404974874356,16412.797022746898
"#75.","Southport","Gold Coast, Tweed Heads + Coolangatta, GoldCoast-Tweed",0,0,0,0,0,13286,0,0,9.740326123179278,11880.776683985618
"#76.","Holroyd","",0,0,0,0,0,43324,0,0,6.67162184472802,16141.860189462624
"#77.","Townsville","",0,0,0,0,10920,36943,0,0,7.14416443999156,17535.193336677945
"#78.","Penrith","",0,0,0,0,7186,17106,0,0,8.446835333159795,13873.782131403863
"#79.","Woodville","",0,0,0,0,0,0,0,0,4.434727297022967,17146.792775691763
"#80.","Palmerston North","",0,0,0,0,0,0,0,75159,37,2031
"#81.","Ballarat (agglomeration)","",0,0,0,0,48580,43543,0,0,5.06702252266556,32795.27049489899
"#82.","Port Vila","",0,0,0,0,0,0,0,72613,34,2430
"#83.","Lower Hutt","",0,0,0,0,0,0,0,70637,45,1570
"#84.","Cleveland","",0,0,0,0,0,0,0,70541,49,1440
"#85.","Doncaster","Doncaster and Templestowe",0,0,0,0,0,0,0,0,5.177175054357558,14042.12958886635
"#86.","Hobart","",0,0,0,0,0,0,59603.99999999998,69906,46,1648.0000000000007
"#87.","Leichhardt","",0,0,0,0,0,45191,0,0,4.76344431974085,17563.15301197438
"#88.","Pakenham","",0,0,0,0,0,0,0,67998,23,2956
"#89.","Ballarat","",0,0,0,0,0,0,0,67880,47,1494
"#90.","Coburg","",0,0,0,0,0,53812,0,0,5.106077678361862,13791.085225709225
"#91.","Marion","",0,0,0,0,0,0,0,0,3.9430138276166398,17113.812669733492
"#92.","Upper Coomera","",0,0,0,0,0,0,0,67293,28,2403
"#93.","Heidelberg","",0,0,0,0,0,0,0,0,3.964836570778262,16923.774486580885
"#94.","Port Louis","",0,0,0,0,55900,15678,0,0,5.123552679070001,82575.24590400535
"#95.","Le Tampon","",0,0,0,0,0,0,0,66486,24.000000000000004,2799.9999999999995
"#96.","Knox","",0,0,0,0,0,0,0,0,4.3199764576429285,15864.144276712654
"#97.","Helensvale; Pacific Pines; Oxenford","",0,0,0,0,0,0,0,65845,27,2439
"#98.","Frankston","",0,0,0,0,0,0,0,0,4.077681200760183,16321.152075321414
"#99.","Salisbury","",0,0,0,0,0,0,0,0,6.299547200350028,11168.258735608488
"#100.","Springvale","",0,0,0,0,0,0,0,0,4.419362998050544,15275.71191973625
"#101.","Toowomba","",0,0,0,0,18843,37543,0,0,5.236340129059723,23548.128904882928
"#102.","Keilor","",0,0,0,0,0,0,0,0,4.307230320795247,16012.833286676305
"#103.","Ipswich","",0,0,0,0,9420,31686,0,0,5.7119740799255485,18227.8000739331
"#104.","Saint-Andr�","",0,0,0,0,0,0,0,60621,24.000000000000004,2526
"#105.","Saint Kilda","",0,0,0,0,0,52524,0,0,3.793180132408374,16328.64433832832
"#106.","Caloundra","",0,0,0,0,0,0,0,60065,35,1716
"#107.","Apia","",0,0,0,0,0,0,0,60042,35,1715
"#108.","Elizabeth North; Craigmore; Elizabeth Downs; Davoren Park; Smithfield; Smithfield Plains; Elizabeth Park","",0,0,0,0,0,0,0,59118,28,2111
"#109.","Northcote","",0,0,0,0,0,49655,0,0,3.875469409952317,15655.738069668705
"#110.","Footscray","",0,0,0,0,0,52739,0,0,3.7596258008717123,15827.957475525496
"#111.","Wanneroo","",0,0,0,0,0,0,0,0,7.309679795723424,17367.35822515118
"#112.","Essendon","",0,0,0,0,0,52385,0,0,3.6863790193460573,16001.960359270388
"#113.","Cairns","",0,0,0,0,0,0,0,57591,37,1557
"#114.","Mount Annan; Elderslie; Narellan Vale; Currans Hill; Narellan; Smeaton Grange; Harrington Park","",0,0,0,0,0,0,0,57356,23,2494
"#115.","Woollahra","",0,0,0,0,0,34700,0,0,3.9589320691052787,16529.549328397592
"#116.","Oakleigh","",0,0,0,0,0,0,0,0,3.3417240120298572,16853.57611737351
"#117.","Prahran","",0,0,0,0,0,53197,0,0,3.250131574377182,17575.065670595766
"#118.","Ipswich","",0,0,0,0,0,0,0,55990,36,1555
"#119.","Gosford","",0,0,0,0,0,0,0,0,5.911469883806748,15051.89842022004
"#120.","North Canberra","",0,0,0,0,0,0,0,55458,21,2641
