"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#71.","Daska","",0,0,0,0,0,0,117560.99999999996,408493,31,14694.999999999989
"#72.","Kamoke","",0,0,0,0,0,0,115423.99999999991,397022,41,13913
"#73.","Joharabad; Khushab","",0,0,0,0,0,0,79544.00000000003,375822,51,12094.999999999996
"#74.","Chiniot","",0,0,0,0,0,0,142293.00000000006,314461,21,19903.000000000015
"#75.","Charsadda","",0,0,0,0,0,0,128932.99999999994,383635,50,9102
"#76.","Dera Ismail Khan","",0,0,0,0,0,0,0,381590,63,6590.999999999999
"#77.","Raiwind","",0,0,0,0,0,0,0,379368,64,10821.999999999996
"#78.","Muzaffargarh","",0,0,0,0,0,0,163401,335838,62,10239.000000000004
"#79.","Pakpattan","",0,0,0,0,0,0,122728.0000000001,338403,29,17568.000000000004
"#80.","Râwalpindi","Raulpindi",0,0,0,0,86310,188490,0,0,19.632234027015684,78655.06074768941
"#81.","Gujrânwâla","Gûjrânwâlah, Gajranwala, Goojranwalla",0,0,0,0,28780,117260,0,0,41.29442283970202,17506.443492543367
"#82.","Peshâwar (agglomeration)","",0,0,0,0,94040,173000,0,0,33.715440817215665,16791.38777386256
"#83.","Jizzakh","",0,0,0,0,0,0,200200.9999999999,357000,101,3535
"#84.","Ghazni","",0,0,0,0,0,0,355256,89125,23,17763.000000000007
"#85.","Mirpur Khas","",0,0,0,0,0,0,110371.00000000007,348229,29,14216.000000000011
"#86.","Khost","",0,0,0,0,0,0,0,338540,128,3267.000000000001
"#87.","Karaganda","",0,0,0,0,0,0,327269.0000000003,303663,63,5643
"#88.","Takht Bhai; Jalala; Shergarh","",0,0,0,0,0,0,0,333439,93,7467.000000000005
"#89.","Gojra","",0,0,0,0,0,0,92336.00000000007,332920,26,13848.99999999999
"#90.","Muridke","",0,0,0,0,0,0,105795.00000000004,328332,40,10818.000000000007
"#91.","Yar Hussain; Colonel Sher Kalay; Turlandi","",0,0,0,0,0,0,0,328269,71,6501.000000000003
"#92.","Narowal","",0,0,0,0,0,0,67760,320888,30,14554.000000000007
"#93.","Jaranwala","",0,0,0,0,0,0,94039.00000000006,317975,24,14488.999999999998
"#94.","Wazirabad","",0,0,0,0,0,0,70533.00000000006,317490,45,10297.000000000005
"#95.","Burewala","",0,0,0,0,0,0,74073,313815,40,10114.000000000002
"#96.","Taloqan","",0,0,0,0,0,0,0,307493,40,7687
"#97.","Jacobabad","",0,0,0,0,0,0,0,304933,27,12254.999999999996
"#98.","Mandi Bahauddin","",0,0,0,0,0,0,70044.00000000001,303836,34,9741.999999999996
"#99.","Nukus","",0,0,0,0,0,0,166005.00000000003,289562,74,4048.9999999999977
"#100.","Nawabshah","",0,0,0,0,0,0,91004.00000000007,298009,27,11858.999999999993
"#101.","Qoqand","",0,0,0,0,0,0,101609.00000000003,296642,81,3662
"#102.","Pavlodar","",0,0,0,0,0,0,194553.99999999988,262864,61.00000000000001,5220.000000000004
"#103.","Semey","",0,0,0,0,0,0,228124.9999999999,291783,91,4400.000000000004
"#104.","Samarqand","Samarkand, Afrosiab, Maracanda",100000,80000,60000,50000,59814,158000,0,0,2.73972602739726,105174.38500000001
"#105.","Shikarpur","",0,0,0,0,0,0,82431.00000000004,284436,18,17755.000000000007
"#106.","Shahrisabz","",0,0,0,0,0,0,0,283388,87,3257
"#107.","Khanewal","",0,0,0,0,0,0,79842.00000000001,275347,46,7814.999999999996
"#108.","Hazro; Ghorghushti","",0,0,0,0,0,0,0,281181,73,3878.9999999999973
"#109.","Symkent","Shymkent, Chimkent, Isfidshab",0,0,0,0,12238,110376,0,0,33.57262610508048,17387.850416011926
"#110.","A`sgabat","Ashgabat, A`schabad, Ashkhabad, Poltoratsk (from 1919-1927)",0,0,0,0,25100,136565,0,0,29.165934388222567,16947.832924386912
"#111.","Kunduz","",0,0,0,0,0,0,226956.99999999994,264785,39,11347.999999999993
"#112.","Kostanay","",0,0,0,0,0,0,256281.99999999997,162918,42,6640
"#113.","Râwalpindi Cantonment","",0,0,0,0,0,0,0,0,19.02962522376336,15874.865840966226
"#114.","Khanpur","",0,0,0,0,0,0,0,264309,28,10973.999999999998
"#115.","Urgench","",0,0,0,0,0,0,109926.00000000009,261276,66,3959
"#116.","Aktau","",0,0,0,0,0,0,0,259510,53,4896
"#117.","Dadu","",0,0,0,0,0,0,91621.99999999999,253440,16,17160.000000000007
"#118.","Semey","Semipalatinsk",0,0,0,0,27727,126718,0,0,22.90934277352075,20994.051255310766
"#119.","Muzaffarabad","",0,0,0,0,0,0,0,237175,26.000000000000004,9754.000000000004
"#120.","Vehari","",0,0,0,0,0,0,56230.99999999999,241127,30.000000000000004,8423.000000000002
