"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#50.","Changzhou; Wujin; Changzhou Economic Development District; Tianning; Zhonglou; Xinbei","",0,0,0,0,0,0,346585.9999999998,2772878,613,4735
"#51.","Chongqing","Chungking, Ch'ung-ch'ing, Yu, Tchongking, Pahsien",0,0,0,53085,437732,1332400,0,0,364.44451924583495,15964.845251774746
"#52.","Guiyang; ????; Wudang; Baiyun; Yunyan; Nanming","",0,0,0,0,0,0,1009345.0000000005,2757868,302,9255
"#53.","Lanzhou; Xigu; Chengguan; Anning; Qilihe","",0,0,0,0,0,0,1176167.000000001,2689402,250,10758
"#54.","Tangshan; Fengnan; Lubei; Lunan; Guye; Kaiping","",0,0,0,0,0,0,722208,2651179,455,5827
"#55.","Nantong; Chongchuan District; Tongzhou","",0,0,0,0,0,0,471996.99999999965,2608604,658,5488.000000000005
"#56.","Yokohama","",0,0,0,0,237867,900867,0,0,341.0884121258913,19584.224272823834
"#57.","Ôsaka","",0,0,0,324192,644303,0,0,0,200.88069787806103,66805.93784999455
"#58.","Daegu; Gyeongsan-si","",0,0,0,0,0,0,1511603.0000000005,2300085,289.00000000000006,9563.999999999998
"#59.","Putian; Xiuyu; Chengxiang; Licheng; Hanjiang","",0,0,0,0,0,0,352534.99999999977,2463177,453,5437
"#60.","Taichung","",0,0,0,0,0,0,1487970.9999999998,2318377,313,7750.000000000004
"#61.","Pusan","Busan, Fusan, Husan",0,0,0,28000,68500,535818,0,0,374.1664352733319,24973.83289190864
"#62.","Harbin","Ha'erbin, Ha-erh-pin, Pinkiang, Pingkiang, Charbin, Kharbin",0,0,0,0,40510,921200,0,0,147.7302646971739,72683.50203715698
"#63.","Kaohsiung","",0,0,0,0,0,0,1520290.000000001,2294772,374.99999999999994,6169
"#64.","Fukuoka; Kasuga; Chikushino; Onojo; Itoshima; Munakata; Dazaifu; Fukutsu; Koga; Nakagawa","",0,0,0,0,0,0,1834066.9999999986,2213305,450,5137.000000000002
"#65.","Zhuhai; Macau; Xiangzhou","",0,0,0,0,0,0,309100.00000000006,2253273,274,16268.000000000013
"#66.","Taiyuan","Taiyuan, Yanggu, Yangku, T'ai-yuan",0,30776,61328,40209,273810,408280,0,0,271.574922198441,25082.905218816355
"#67.","Wuhu; Jiujiang; Jinghu; Yijiang","",0,0,0,0,0,0,373541.9999999997,2137949,197,10853
"#68.","Handan; Hanshan; Congtai; Fuxing","",0,0,0,0,0,0,244792.9999999998,2099937,251,8366
"#69.","Hohhot; Xincheng; Huimin; Saihan; Yuquan","",0,0,0,0,0,0,821333.9999999997,2029813,315,8984.999999999995
"#70.","Sapporo; Ebetsu","",0,0,0,0,0,0,1506165.0000000007,1931424,353,6112.000000000003
"#71.","Nunjiang","Nenjiang",0,100000,150000,50000,260260,1180000,0,0,257.18911857075653,18250
"#72.","Yinchuan; Jinfeng; Xingqing; Xixia","",0,0,0,0,0,0,246514.00000000015,1913287,253.00000000000003,7562
"#73.","Lanzhou","Lanchow, Kao lan, Gaolan, Lan-chou",0,16919,22306,83678,294667,293200,0,0,38.29986684253112,1388816.5611749268
"#74.","Xiamen City; Siming; Huli","",0,0,0,0,0,0,461121.9999999997,1676987,186.00000000000009,11859.999999999996
"#75.","T'aipei","Taibei, Tai-pei, Taipeh, Taihôku, Thaipefu",0,0,0,0,43204,542028,0,0,211.18590404557074,30148.100941156128
"#76.","Luoyang; Jianxi District; Xigong; Chanhe Hui District; Luoyang High-tech Zone; Laocheng; Luolong","",0,0,0,0,0,0,760671.9999999994,1603585,355.00000000000006,5332.000000000004
"#77.","Xi'an","Sian, Hsi-an, Chang'an, Sianfu, Si-ngan, Singan-fu, Siking, Ch'ang-an",419802,600000,126000,224274,251000,581344,0,0,168.99429294889626,21212.6707337323
"#78.","Qingdao","Tsingtao, Ch'ing-tao, Tsingtau",0,0,0,0,800000,897120,0,0,43.3747032472077,42394.50330114658
"#79.","Xuchang; Changge; Weidu; Jian'an","",0,0,0,0,0,0,248032.00000000006,1821624,352,6861.0000000000055
"#80.","P'yõngyang (agglomeration)","",42859,60000,60000,67444,109301,688514,0,0,214.55649638274423,18250.000000000004
"#81.","Anyang; Anyang; Yindu; Beiguan; Long'an","",0,0,0,0,0,0,487531.00000000006,1736590,209,8309
"#82.","Huaiyin District; Qingjiangpu","",0,0,0,0,0,0,359748.0000000001,1717421,203,9357.999999999998
"#83.","Zibo; Zh?ngdi�n District; Boshan; Zichuan","",0,0,0,0,0,0,540301.0000000003,1680283,429,5350.000000000005
"#84.","Zibo","Zhangdian, Changtien, Chang-tien, Tzepo, Tzupo, Tzu-po",0,0,0,0,0,0,0,0,169.82773182444282,11328.876200186281
"#85.","Chengdu","Chengtu, Ch'eng-tu",248218,75000,77500,108755,335048,778880,0,0,177.05513373956657,21467.519634589007
"#86.","Baotou; Hondlon District; Qingshan","",0,0,0,0,0,0,724841.0000000002,1645072,235,8138.000000000002
"#87.","Fushun","Funan, Fu-shun",0,0,0,0,0,579240,0,0,124.89279701169077,34150.01080477024
"#88.","Ulaanbaatar","",0,0,0,0,0,0,238194.0000000001,1634097,235,6954
"#89.","Kunming","K'un-ming, Yunnan",0,0,50000,46035,59130,464960,0,0,202.22693704420416,17859.29138807762
"#90.","Xuzhou; Quanshan; Gulou; Tongshan; Yunlong","",0,0,0,0,0,0,924323.0000000005,1310475,258,8404.000000000002
"#91.","Linyi; Linyi National High-Tech Zone; Luozhuang; Lanshan; Yihe New Area; Hedong","",0,0,0,0,0,0,355453.9999999999,1555397,829,4428.999999999998
"#92.","Jilin City; Longtan; Changyi; Chuanying; Fengman","",0,0,0,0,0,0,1146581.0000000005,1474659,139,14635.999999999987
"#93.","Yichang; Yiling District; Xiling District; Wujiagang District","",0,0,0,0,0,0,213323.00000000017,1573289,156,10085
"#94.","Datong; Yungang; Pingcheng","",0,0,0,0,0,0,705070.9999999994,1571547,223,7116.999999999997
"#95.","Zhangzhou; Haicang; Xiangcheng; Longhai; Longwen","",0,0,0,0,0,0,327020.00000000023,1535556,417,7786.000000000004
"#96.","Daejeon","",0,0,0,0,0,0,454351.0000000001,1504229,204,8961
"#97.","Anshan; Lishan; Tiedong; Tiexi; Qianshan; Liaoyang","",0,0,0,0,0,0,1009026.9999999991,1495743,191,9805.999999999996
"#98.","Ganzhou; Zhanggong; Ganxian","",0,0,0,0,0,0,70057.99999999996,1476966,150,9846
"#99.","Taizhou; Luqiao District; Jiaojiang District","",0,0,0,0,0,0,115310.00000000004,1395452,333.99999999999983,8870.000000000007
"#100.","Cixi","",0,0,0,0,0,0,0,1459131,339,6606.000000000002
"#101.","Changchun","Hsinking, Ch'ang-ch'un, Xinjing",0,0,0,85000,85000,720080,0,0,128.37036220193505,32203.65372638572
"#102.","Jinan","Tsinan, Chi-nan",0,0,0,64940,216667,657240,0,0,164.6987786086152,17895.820385097886
"#103.","Gwangju","",0,0,0,0,0,0,547248.0000000001,1428492,190,9295.000000000002
"#104.","Xiuying District; Longhua District; Qiongshan District; Meilan District","",0,0,0,0,0,0,377789.0000000001,1374152,211.99999999999997,7249
"#105.","Anshan","An-shan",0,0,0,0,0,319160,0,0,168.65845095644443,16661.03278375967
"#106.","Liuzhou; Liujiang; Liunan; Liubei; Chengzhong; Yufeng","",0,0,0,0,0,0,589289.9999999997,1318051,220.00000000000009,7324
"#107.","Zhengzhou","Chengchow, Cheng-chou, Chenghsien",100083,150143,175174,190192,195198,327880,0,0,121.62803431593872,25936.394403244503
"#108.","Xuzhou","Suchow, Pengcheng, Hsu-chou, Suchowfu, Suchou, Tongshan, T'ung-shan",0,0,57500,74972,93887,353200,0,0,162.61923872079709,18248.554397440603
"#109.","Qiqihar","Tsitsihar, Qiqiha'er, Chichihaerh, Ch'i-ch'i-ha-erh, Lungkiang",0,0,0,0,30000,243000,0,0,157.98908464662028,44173.76918611553
"#110.","Binhai New Area; Jinnan","",0,0,0,0,0,0,450289.00000000006,1429158,383,4224.999999999997
"#111.","Shijiazhuang","Shihkiachwang, Shih-chia-chuang",0,0,0,0,0,268000,0,0,134.0965848503194,17409.83080348829
"#112.","Xining; Chengxi; Chengzhong; Chengdong; Chengbei","",0,0,0,0,0,0,496453.99999999994,1423665,146,11391.00000000001
"#113.","Guiyang","Kweiyang, Kuei-yang",0,0,16000,65190,94943,253600,0,0,167.96845553815075,17242.741723257455
"#114.","Tobata","",0,0,0,0,0,84750,0,0,165.77724272812674,24960.96032928241
"#115.","Nagoya","",0,0,0,90659,125647,526142,0,0,85.47635573520887,70216.4888831801
"#116.","Nara; Kashihara; Ikoma; Yamatokoriyama; Kashiba; Yamatotakada; Sakurai; Katsuragi; Gose","",0,0,0,0,0,0,1329336.9999999995,957960,391.9999999999999,3499.9999999999995
"#117.","Kôbe","Hiogo (as a part of it)",0,0,0,21499,238867,681522,0,0,144.61440089575214,30539.73066280824
"#118.","Hiroshima; Hatsukaichi","",0,0,0,0,0,0,1233056,1150148,343.00000000000017,4414.000000000002
"#119.","Kaifeng; Longting; Gulou; Yuwangtai; Shunhe","",0,0,0,0,0,0,420692.9999999999,1296334,193,7509.000000000005
"#120.","Sendai; Natori; Tagajo; Shiogama","",0,0,0,0,0,0,783088.0000000005,1269675,298.00000000000006,4285.000000000002
