Area Rank,City,Area Value,Region,"Density Rank, Stadestér",City,Density Value (ihb/ha),Region,"Density Rank, GHSL",City,Density Value (ihb/km^2),Region,Population Rank,City,Population Value,Region
40,Ho Chi Minh ,1487,southeast_asia,40,Agadez,996.9887691,sub_saharan_africa,40,Jingbian,38488,eastasia,40,Tehran; Esla,9363124,middle_east
41,Benin City (,1440.091913,sub_saharan_africa,41,Bragança,995.7144351,europe,41,??????? ????,38421,middle_east,41,Paris; Argen,9328385,europe
42,Paris; Argen,1421,europe,42,Beograd,990.9515368,eastern_europe_and_russia,42,Sikandra Rao,37997,indian_subcontinent,42,Moskva,9089572,eastern_europe_and_russia
43,Sydney,1378,oceania,43,Huancavelica,990.3863804,latin_america,43,Hudur,37919,sub_saharan_africa,43,Shanghai,9056464,eastasia
44,Kozhikode,1341,indian_subcontinent,44,Gliwice,989.0124814,europe,44,Tulak,37643,central_asia,44,Dar es-Salaa,8918525,sub_saharan_africa
45,Kuala Lumpur,1340,southeast_asia,45,Ensenada,986.9967813,latin_america,45,Xishui,37465,eastasia,45,Bandung; Cim,8691181,southeast_asia
46,Chicago,1307.227738,northern_america,46,Cacheu (comm,986.0679684,sub_saharan_africa,46,Yuechi,37296,eastasia,46,Johannesburg,8592843,sub_saharan_africa
47,Phoenix; Gle,1304,northern_america,47,Montceau-les,984.2424613,europe,47,Sandila,37209,indian_subcontinent,47,Chongqing; D,8449690,eastasia
48,Surabaya; Si,1304,southeast_asia,48,Lanzhou,981.6769745,eastasia,48,Derudeib,37123,sub_saharan_africa,48,Kuala Lumpur,8413206,southeast_asia
49,Washington; ,1301,northern_america,49,Heidelberg,980.4026405,europe,49,Bisalpur,36970,indian_subcontinent,49,Wuhan; Hongs,8079484,eastasia
50,Rio de Janei,1285,latin_america,50,Arbon-Rorsch,977.0357058,europe,50,Koohanjan,36867,middle_east,50,Nanjing; Luh,8061029,eastasia
51,Istanbul,1269,middle_east,51,Montbéliard,972.2056092,europe,51,Gobindaganj,36435,indian_subcontinent,51,Riyadh,7970319,middle_east
52,Kochi; Ernak,1266,indian_subcontinent,52,Suva (agglom,970.2335692,oceania,52,Mojiang Hani,36274,eastasia,52,Ahmedabad,7898650,indian_subcontinent
53,Detroit; Ste,1251,northern_america,53,"Creusot, Le ",969.3288442,europe,53,Qaraziadin,36263,middle_east,53,Nagoya; Gifu,7880478,eastasia
54,Dallas; Plan,1237,northern_america,54,Sebinkarahis,967.9801075,middle_east,54,U�ge,35812,sub_saharan_africa,54,London,7742000,europe
55,Colombo; Kad,1206,indian_subcontinent,55,Chatham,966.4438029,europe,55,El Hawata,35727,sub_saharan_africa,55,Kozhikode,7612130,indian_subcontinent
56,Lagos; Ikeja,1199,sub_saharan_africa,56,Gardiz,966.1921514,central_asia,56,Famenin,35515,middle_east,56,São Paulo,7391957,latin_america
57,Shanghai,1198.005469,eastasia,57,Yarumal,965.8693044,latin_america,57,Garasse,35323,sub_saharan_africa,57,Tianjin; Nan,7330648,eastasia
58,Denver; Auro,1194,northern_america,58,Denain,965.2711748,europe,58,Khall,35131,central_asia,58,Addis Ababa,7280463,sub_saharan_africa
59,Moskva,1187.890395,eastern_europe_and_russia,59,Panamá City,963.2949789,latin_america,59,Manakhah,34912,middle_east,59,Chicago,7157958,northern_america
60,Owerri,1144,sub_saharan_africa,60,Ahmadnagar,962.5767888,indian_subcontinent,60,Yingshan,34699,eastasia,60,Khartoum; Om,7114789,sub_saharan_africa
