"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#92.","Medellín","",0,0,0,5000,51048,241202,0,0,66.63475808918136,43536.15932319365
"#93.","Aguascalientes","",0,0,0,0,0,0,166516.00000000012,878455,142.00000000000003,6284.999999999995
"#94.","Córdoba","",0,0,0,0,49100,415351,0,0,124.74807964902088,19746.985893027897
"#95.","Rosario","Rosario de Santa Fé",0,0,0,0,104700,496400,0,0,97.63659328036779,16639.650908397994
"#96.","Santo Domingo","",0,0,0,12000,16879,204867,0,0,138.90460063925505,25347.909065010288
"#97.","Cuernavaca; Temixco","",0,0,0,0,0,0,85770.99999999994,866396,196,4420
"#98.","Guayaquil","",0,0,0,23333,60000,227400,0,0,120.43903325202945,24225.913104435298
"#99.","M�rida; Kanas�n","",0,0,0,0,0,0,288893.0000000001,852926,182,4686
"#100.","Vi�a del Mar; Valpara�so; Quilpu�; Villa Alemana","",0,0,0,0,0,0,554666.0000000001,838446,152,5516
"#101.","Sao Jose dos Campos; Jacare�","",0,0,0,0,0,0,136919.00000000006,835844,192,4353
"#102.","Chihuahua","",0,0,0,0,0,0,334255.9999999999,832220,192,4345.000000000001
"#103.","Curitiba","Curytiba",0,0,0,5500,49882,249475,0,0,143.27494634542333,14960.42407787029
"#104.","C�cuta","",0,0,0,0,0,0,245247.00000000015,817158,114,7168
"#105.","Cali","",0,0,0,7483,12664,181712,0,0,5285.197708083368,16422.44538939018
"#106.","San Justo","La Matanza (municipality incl. La Tablada, Tapiales)",0,0,0,0,17105,161085,0,0,130.2447961751296,15745.556880400869
"#107.","Cuiab�; V�rzea Grande","",0,0,0,0,0,0,60578.99999999996,801997,236,3398
"#108.","Hermosillo","",0,0,0,0,0,0,207814.99999999983,778882,162,4894.000000000004
"#109.","San Salvador","",0,0,0,0,55550,169817,0,0,111.11573071685557,19895.159015500172
"#110.","Belém","Belém do Para",0,0,0,12000,161059,339100,0,0,99.72555938897658,23232.956426204535
"#111.","La Plata; Berisso","",0,0,0,0,0,0,453666.99999999977,762831,201,3795
"#112.","Iztapalapa","Ixtapalapa",0,0,0,0,7200,158560,0,0,112.1783929235234,9883.45130285538
"#113.","Mexicali","",0,0,0,0,0,0,202017.99999999983,736552,161.00000000000003,4575
"#114.","Saltillo","",0,0,0,0,0,0,168140.0000000001,735829,151,5175.999999999998
"#115.","Barcelona; Puerto La Cruz; Lecher�a; Guanta","",0,0,0,0,0,0,236726.99999999997,688690,144,5140.000000000003
"#116.","Ciudad de Guatemala","Guatemala la Nueva, Guatemala City",0,0,30000,25491,76778,279709,0,0,91.14317878510926,16785.29643712732
"#117.","Brasília","",0,0,0,0,0,0,0,0,70.46295707158772,12789.972357897283
"#118.","Sorocaba; Votorantim","",0,0,0,0,0,0,361214.00000000006,712191,147,4845
"#119.","Maracaibo","",0,0,0,22000,39625,247635,0,0,88.61995792410495,20810.87443224462
"#120.","San Juan","",0,0,0,0,33518,320517,0,0,85.71191154153414,15634.048329729907
