"rank","name","other_names","population_0","population_1000","population_1500","population_1800","population_1900","population_1950","population_1975","population_2025","max_area","max_density"
"#59.","Vladivostok","",0,0,0,0,0,0,586605.0000000001,436926,103,7520.000000000003
"#60.","Yaroslavl","",0,0,0,0,0,0,575071.0000000001,524797,117.00000000000003,5896.999999999998
"#61.","Tyumen","",0,0,0,0,0,0,324508,627661,152,4538.000000000003
"#62.","Kryvyi Rih","Krivij Rig, Krivoi Rog",0,0,0,3389,19375,278447,0,0,110.70177207709295,14363.70455696085
"#63.","L'viv","Lviv, Lvov, L'vov, Lwów, Lemberg",0,3375,12141,42440,189385,369375,0,0,65.88564508318456,17904.682361088373
"#64.","Chi?in?u","",0,0,0,0,0,0,501200.00000000035,450581,101.00000000000003,6081.000000000001
"#65.","Khabarovsk","",0,0,0,0,0,0,514826.0000000001,538466,167.00000000000006,4723.000000000004
"#66.","Orenburg","",0,0,0,0,0,0,469635.00000000023,406414,100.00000000000004,6901.000000000005
"#67.","Homel","",0,0,0,0,0,0,320354.9999999997,571257,75,7617
"#68.","Ryazan","",0,0,0,0,0,0,478947.0000000003,427330,104.99999999999997,5547.999999999999
"#69.","Jaroslavl'","Yaroslavl'",0,0,2583,22014,78775,351031,0,0,65.68607462313857,22166.489568039036
"#70.","Penza","",0,0,0,0,0,0,481160.00000000035,436253,101.00000000000003,5934.000000000005
"#71.","Kirov","",0,0,0,0,0,0,507540.0000000001,289476,61.00000000000001,9440.000000000007
"#72.","Tula","",0,0,1667,42284,114700,304126,0,0,55.83453387348684,17331.509570082
"#73.","Kemerovo","",0,0,0,0,0,0,489620,431190,118.00000000000004,4657.000000000001
"#74.","Tomsk","",0,0,0,0,0,0,469373,465966,78,7768.000000000005
"#75.","Astrakhan","",0,0,0,0,0,0,478601.9999999999,520145,156,3733
"#76.","Krasnodar","",0,0,0,4000,69675,248865,0,0,90.17596490764883,13851.992409867173
"#77.","Irkutsk","",0,0,0,0,0,0,459127.00000000035,434849,101.00000000000003,5793.000000000002
"#78.","Naberezhnye Chelny","",0,0,0,0,0,0,56346,499389,107,5418.000000000002
"#79.","Mykolaiv","",0,0,0,0,0,0,387857,412070,94,5882.999999999996
"#80.","I`'zevsk","Ustinov, Izhevsk, I`'zevskij, I`'zevski Zavod",0,0,0,6500,39542,226091,0,0,78.77944332109371,12021.769998441196
"#81.","Tver","",0,0,0,0,0,0,467254,339394,79.99999999999997,6308.000000000002
"#82.","Irkutsk","",0,0,0,11100,51500,289045,0,0,70.0419492046111,16298.112493961384
"#83.","Chabarovsk","Chabarovka",0,0,0,0,23600,251670,0,0,58.93456429838651,16331.700003258255
"#84.","Vladivostok","",0,0,0,0,47290,244170,0,0,64.31163381573987,13231.943875074494
"#85.","Luhansk","",0,0,0,0,0,0,427856.9999999998,342311,87,5793.000000000002
"#86.","Cheboksary","",0,0,0,0,0,0,347577,437913,100.00000000000004,5459.000000000004
"#87.","Ivanovo","",0,0,0,0,0,0,471877.9999999999,368358,79.99999999999997,6202.000000000002
"#88.","Mariupol","",0,0,0,0,0,0,472733.00000000023,363415,136.00000000000006,3739
"#89.","Rostov","Rostov-Velikij, Rostov-Jaroslavski",0,6000,9000,5385,0,17184,0,0,8.488167256031772,5664935.478631273
"#90.","Barnaul","",0,0,0,0,34230,194614,0,0,59.80500589781716,13833.332350467543
"#91.","Murmansk","",0,0,0,0,0,0,383886.99999999977,272712,74.99999999999997,6323.999999999998
"#92.","Mariupol'","`Zdanov, Zhdanov",0,0,0,3319,35771,255114,0,0,72.68621087953738,16165.442128214912
"#93.","Ulyanovsk","",0,0,0,0,0,0,324659.00000000023,378459,101,5010
"#94.","Novokuznetsk","",0,0,0,0,0,0,431986.00000000023,288930,63.99999999999998,7199.999999999996
"#95.","Ivanovo","",0,0,0,14431,57320,306665,0,0,55.68766785950622,14944.848946035496
"#96.","Kaliningrad","",0,0,0,0,0,0,317196.99999999977,438435,102,4512.000000000003
"#97.","Astrachan'","Astrakhan, Khadzhi-Tarkhan",0,42000,42000,26952,123700,268626,0,0,42.20314605970262,45736.91561237147
"#98.","Vladimir","",0,0,0,0,0,0,393002.99999999965,227182,48.99999999999999,8846.000000000007
"#99.","Rajon Swerdlowski; Rajon Kirow; Leninrajon","",0,0,0,0,0,0,379245.00000000006,285712,81.00000000000003,5926
"#100.","Codru","",0,0,1000,15361,104316,217053,0,0,53.11182166695202,11594.256684607786
"#101.","Chisinâu","Kishinev, Ki`sin'ov",0,0,0,0,121550,135200,0,0,39.93066476833769,37222.93225366614
"#102.","Kemerovo","`'S`'ceglovsk, Shcheglovsk",0,0,0,0,0,202227,0,0,44.52397860792739,12336.438341494766
"#103.","Penza","",0,0,0,14347,63400,205688,0,0,55.547154207261634,15973.2708286856
"#104.","Sarajevo","",0,0,0,0,0,0,371815,235739,94,6091.999999999997
"#105.","Podolsk","",0,0,0,0,0,0,251502.0000000001,414099,95.99999999999999,4635
"#106.","Makijivka","Makiyivka, Makiïvka, Makaevka, Dmitrijevsk, Dmitriyevsk",0,0,0,0,0,287271,0,0,36.66152270553737,12849.597438461033
"#107.","Skopje","",0,0,0,0,0,0,355360.00000000023,402733,95,4764
"#108.","Arkhangelsk","",0,0,0,0,0,0,395023.99999999977,213275,69.00000000000001,5997.0000000000055
"#109.","Ul'janovsk","",0,0,0,13152,42900,154636,0,0,53.65204347545691,15708.864112653962
"#110.","Ulan-Ude","",0,0,0,0,0,0,363105.9999999998,245016,90,4786.999999999997
"#111.","Mahilio?","",0,0,0,0,0,0,267888.00000000023,399369,76,5419.999999999997
"#112.","R'azan'","Ryazan",0,2375,2375,9232,45725,124818,0,0,56.22357836192617,16606.896290964825
"#113.","Vinnytsia","",0,0,0,0,0,0,299076.0000000001,355789,69.00000000000001,6236.000000000002
"#114.","Orenburg","",0,0,0,5667,76720,208227,0,0,63.66792665629791,13736.913619929817
"#115.","Brest","",0,0,0,0,0,0,151650.9999999999,397637,70,6154.000000000003
"#116.","Hrodna","",0,0,0,0,0,0,193458.9999999999,395330,55.000000000000014,7188
"#117.","Mykolajiv","Mykolayiv, Mikolaiv, Nikolaev, Nikolajev, Nikolayev, Verchnoleninsk, Verkhnoleninsk",0,0,0,4000,94100,193420,0,0,59.170225625862706,13407.867082660881
"#118.","Magnitogorsk","",0,0,0,0,0,0,300877.99999999994,351850,129,4066.0000000000014
"#119.","Ni`'znij Tagil","Nizhnii Tagil",0,0,0,4833,31400,245883,0,0,54.41346095860475,14313.99879760388
"#120.","Smolensk","",0,0,0,0,0,0,313514.9999999998,279694,53.00000000000001,7423.0000000000055
